 Month  Day  Year  Parameter  DepthEmax  |Error|max  DepthEmin  |Error|min  |Error|mean
    6    11  1980    TEMP       5.000      -6.472       3.000      -0.493      -3.483
    6    11  1980    DO         4.000      -9.086       6.000       0.062      -4.512
    7     9  1980    TEMP       0.000       7.741       7.000       0.636       4.189
    7     9  1980    DO         3.000      -7.853       7.000      -0.144      -3.998
    8     6  1980    TEMP       0.000       7.056       6.000       0.423       3.739
    8     6  1980    DO         4.000      -9.843       7.000      -0.849      -5.346
    9     5  1980    TEMP       1.000       4.427       4.000       0.195       2.311
    9     5  1980    DO         4.000      -6.682       7.000       0.135      -3.273
    5    18  1981    TEMP       0.000       4.622       5.000      -0.302       2.160
    5    18  1981    DO         5.000     -10.609       1.000      -2.981      -6.795
    6    12  1981    TEMP       0.000       4.174       7.000      -0.303       1.936
    6    12  1981    DO         3.000      -9.200       6.000      -0.356      -4.778
    7    13  1981    TEMP       5.000      -4.015       7.000      -0.991      -2.503
    7    13  1981    DO         3.000      -8.175       6.000      -0.045      -4.110
    8    12  1981    TEMP       0.000       8.553       7.000      -0.287       4.133
    8    12  1981    DO         4.000      -9.890       6.000      -0.054      -4.972
    9    15  1981    TEMP       6.000      -1.745       4.000       0.555      -0.595
    9    15  1981    DO         4.000      -6.530       7.000      -0.054      -3.292
    5     5  1982    TEMP       0.000       6.143      10.000       0.242       3.192
    5     5  1982    DO         6.000      -5.889      14.000      -1.720      -3.804
    5    17  1982    TEMP       1.000       5.629       9.000      -0.080       2.775
    5    17  1982    DO         5.000      -4.314      11.000      -1.089      -2.702
    5    25  1982    TEMP       1.000       4.849       9.000       0.260       2.555
    5    25  1982    DO         4.000      -4.468       1.000      -0.269      -2.368
    6    10  1982    TEMP       0.000       4.533       8.000      -0.222       2.155
    6    10  1982    DO         5.000      -8.225      11.000      -0.288      -4.257
    6    23  1982    TEMP       1.000       6.157       7.000       0.405       3.281
    6    23  1982    DO         5.000     -11.450      12.000      -0.786      -6.118
    6    30  1982    TEMP       5.000      -4.523       7.000      -0.250      -2.386
    6    30  1982    DO         4.000      -8.470      12.000      -0.683      -4.577
    7     8  1982    TEMP       4.000      -5.073       7.000      -0.366      -2.719
    7     8  1982    DO         3.000      -7.323       2.000      -0.315      -3.819
    7    20  1982    TEMP       0.000       5.419       7.000      -0.815       2.302
    7    20  1982    DO         3.000      -6.523      12.000      -0.476      -3.499
    8     3  1982    TEMP       0.000       6.389       7.000       0.294       3.342
    8     3  1982    DO         3.000      -6.462       1.000       0.045      -3.209
    8    11  1982    TEMP       5.000      -5.637       7.000       0.628      -2.504
    8    11  1982    DO         4.000      -6.263       0.000       0.513      -2.875
    8    17  1982    TEMP       0.000      14.795       8.000      -0.782       7.006
    8    17  1982    DO         1.000       5.976      14.000       0.028       3.002
    8    25  1982    TEMP      11.000       4.215       3.000       0.834       2.525
    8    25  1982    DO         3.000      -7.529       0.000       0.370      -3.580
    9     8  1982    TEMP      11.000       4.675       7.000      -0.266       2.205
    9     8  1982    DO         5.000      -4.382      12.000       0.034      -2.174
    6     3  1985    TEMP       6.000      -4.224       4.000       0.065      -2.080
    6     3  1985    DO         5.000      -6.820      12.000       0.028      -3.396
    7     9  1985    TEMP       7.000      -5.882      10.000      -0.569      -3.225
    7     9  1985    DO         3.000      -4.913       8.000      -0.057      -2.485
    8     1  1985    TEMP       5.000      -7.159       9.000       0.080      -3.539
    8     1  1985    DO         4.000      -5.696       2.000       0.149      -2.774
    8     2  1985    TEMP       2.000      10.933       7.000       1.915       6.424
    8     2  1985    DO         4.000      -9.581      14.000      -0.064      -4.822
    9     4  1985    TEMP       0.000       5.775       9.000      -0.468       2.653
    9     4  1985    DO         4.000      -5.338       9.000      -0.258      -2.798
    4    18  1990    TEMP       3.000       4.598      14.000       0.586       2.592
    4    18  1990    DO        14.000      -9.986       1.000      -0.234      -5.110
    5     2  1990    TEMP       0.000       5.241       9.000      -0.134       2.553
    5     2  1990    DO         7.000      -6.338       3.000       0.825      -2.757
    5    16  1990    TEMP       6.000      -3.638      10.000       0.047      -1.796
    5    16  1990    DO         5.000      -6.498      14.000       0.012      -3.243
    5    30  1990    TEMP       0.000       5.131      11.000       0.265       2.698
    5    30  1990    DO         6.000      -4.423      14.000       0.107      -2.158
    6    14  1990    TEMP       5.000      -5.357      13.000       0.092      -2.632
    6    14  1990    DO         4.000      -7.362      14.000       0.115      -3.623
    6    27  1990    TEMP       4.000      -6.936      13.000       0.045      -3.445
    6    27  1990    DO         4.000      -4.942      14.000       0.123      -2.409
    7    12  1990    TEMP       4.000      -7.795      12.000       0.003      -3.896
    7    12  1990    DO         4.000      -5.730      14.000       0.040      -2.845
    7    25  1990    TEMP       5.000      -8.143      10.000      -0.262      -4.202
    7    25  1990    DO         3.000      -6.233       5.000      -0.033      -3.133
    8     8  1990    TEMP       5.000      -8.253      10.000      -0.350      -4.302
    8     8  1990    DO         3.000      -7.931      14.000       0.138      -3.897
    8    22  1990    TEMP       5.000      -6.588      10.000      -0.046      -3.317
    8    22  1990    DO         4.000      -4.559      14.000       0.140      -2.209
